ababa addis -1	Up to seven people were killed when forces fire on demonstrators in Addis Ababa on May 29 .
aback taken -1	He watched amused both the Cambridge detectives shook hands gingerly , obviously taken aback .
abbey church 1	He visited his father 's body where it lay in the abbey church of .
abbey national 1	A consistently competitive rate is part of the deal , and need only look at Abbey National 's interest rates over the few years .
abbott miss -1	D ' you know what we 've come for , Miss Abbott ?
abdominal pain 1	The genesis of abdominal pain or disordered bowel habit is generally ascribed to abnormal colonic motor function .
ability communicate 2	A principal one is a lack of management skill in the ability to communicate .
ability cope 2	The nature of classroom interaction is one factor which may affect children 's ability to cope with explanations in the classroom .
ability make 2	A good example of this arises in the study of children 's reasoning , particularly in their ability to make what are known as transitive inferences .
ability mixed -1	Again , this is certainly a is often about in terms of mixed ability teaching .
ability pay 2	For an organ larger than this , there is no limit except that imposed by the customer 's ability to pay .
able afford 2	I asked the Czech manager if they would be at Rutland Water in June and he said they would not be able to afford it .
able bodied 1	Paul and other wheelchair users want the Government to make sure disabled people have the same access as the able bodied .
able bring 2	Without the resources of the Oxford department in the following three years , Florey would probably not have been able to bring penicillin to clinical fruition .
able buy 2	Even if I was still working I do n't think we 'd be able to buy anything .
able come 2	When I had meningitis , I wondered whether I would be able to come back properly .
able cope 2	Health is described by phrases such as being happy , being unstressed and being able to cope .
able get 2	It is a bit like running away from the police and just to keep one ahead but not being able to get away !
able give 2	Anyone interested in this aspect of preconceptual care would do well to contact Foresight who have local counsellors able to give specific advice .
able help 2	Estate and accommodation agents may also be able to help .
able identify 2	But if you 'd also been able to identify me then they would certainly have initiated an investigation .
able look 2	It receives representations each year from some 500 prisoners claiming miscarriages of justice but is able to look at 50 cases in depth .
able make 2	Happily it was rare to be as unfortunate as Dooley on the field , but few were able to make a good career in the game .
able move 2	Always before she had worked free , able to move about at will .
able need -3	I have big hands and I need to be able to grab onto something and bend the shit out of those strings .
able offer 2	A gentleman from Peebles called our phone-in to ask for help with whitefly on his fuchsias , and Carole was able to offer some advice .
able pay 2	He paid a debt which he did not owe because we are a debt that we will never be able to pay .
able produce 2	Another strength of the initiative has been the sophisticated it has been able to produce .
able provide 2	The first consideration is whether the corpus is able to provide enough data for a particular transition length .
able put 2	We would really like to see this thing over and done with one way or another , and to be able to put our case .
